"logdate","log"
"2024-09-27 13:14:14.0 IST","CompatibleBCal 7 out of  33 columns processed and took 59 seconds to complete."
"2024-09-27 13:15:13.0 IST","CompatibleBCal 8 out of  33 columns processed."
"2024-09-27 13:15:13.0 IST","CompatibleBCal 8 out of  33 columns processed and took 58 seconds to complete."
"2024-09-27 13:15:17.0 IST","CompatibleBCal 9 out of  33 columns processed."
"2024-09-27 13:15:22.0 IST","CompatibleBCal 10 out of  33 columns processed."
"2024-09-27 13:15:25.0 IST","CompatibleBCal 11 out of  33 columns processed."
"2024-09-27 13:15:28.0 IST","CompatibleBCal 12 out of  33 columns processed."
"2024-09-27 13:15:31.0 IST","CompatibleBCal 13 out of  33 columns processed."
"2024-09-27 13:15:33.0 IST","CompatibleBCal 14 out of  33 columns processed."
"2024-09-27 13:15:36.0 IST","CompatibleBCal 15 out of  33 columns processed."
"2024-09-27 13:15:39.0 IST","CompatibleBCal 16 out of  33 columns processed."
"2024-09-27 13:15:42.0 IST","CompatibleBCal 17 out of  33 columns processed."
"2024-09-27 13:15:45.0 IST","CompatibleBCal 18 out of  33 columns processed."
"2024-09-27 13:15:48.0 IST","CompatibleBCal 19 out of  33 columns processed."
"2024-09-27 13:15:50.0 IST","CompatibleBCal 20 out of  33 columns processed."
"2024-09-27 13:15:53.0 IST","CompatibleBCal 21 out of  33 columns processed."
"2024-09-27 13:15:56.0 IST","CompatibleBCal 22 out of  33 columns processed."
"2024-09-27 13:15:59.0 IST","CompatibleBCal 23 out of  33 columns processed."
"2024-09-27 13:16:03.0 IST","CompatibleBCal 24 out of  33 columns processed."
"2024-09-27 13:16:06.0 IST","CompatibleBCal 25 out of  33 columns processed."
"2024-09-27 13:16:09.0 IST","CompatibleBCal 26 out of  33 columns processed."
"2024-09-27 13:16:11.0 IST","CompatibleBCal 27 out of  33 columns processed."
"2024-09-27 13:16:14.0 IST","CompatibleBCal 28 out of  33 columns processed."
"2024-09-27 13:16:17.0 IST","CompatibleBCal 29 out of  33 columns processed."
"2024-09-27 13:16:20.0 IST","CompatibleBCal 30 out of  33 columns processed."
"2024-09-27 13:16:23.0 IST","CompatibleBCal 31 out of  33 columns processed."
"2024-09-27 13:16:26.0 IST","CompatibleBCal 32 out of  33 columns processed."
"2024-09-27 13:16:29.0 IST","CompatibleBCal 33 out of  33 columns processed."
"2024-09-27 13:16:30.0 IST","Column Relations count : 0"
"2024-09-27 13:16:30.0 IST","Table CompatibleBCal profiled successfully, took : 275 secs. 11 table out of 15 tables completed."
"2024-09-27 13:16:30.0 IST","Started profiling table : TeradataBCal"
"2024-09-27 13:16:32.0 IST","Table: TeradataBCal rowcount updated, count : 73414"
"2024-09-27 13:16:46.0 IST","TeradataBCal 1 out of  33 columns processed."
"2024-09-27 13:16:46.0 IST","TeradataBCal 1 out of  33 columns processed and took 13 seconds to complete."
"2024-09-27 13:16:59.0 IST","TeradataBCal 2 out of  33 columns processed."
"2024-09-27 13:16:59.0 IST","TeradataBCal 2 out of  33 columns processed and took 13 seconds to complete."
"2024-09-27 13:17:23.0 IST","TeradataBCal 3 out of  33 columns processed."
"2024-09-27 13:17:23.0 IST","TeradataBCal 3 out of  33 columns processed and took 23 seconds to complete."
"2024-09-27 13:17:46.0 IST","TeradataBCal 4 out of  33 columns processed."
"2024-09-27 13:17:46.0 IST","TeradataBCal 4 out of  33 columns processed and took 23 seconds to complete."
"2024-09-27 13:18:00.0 IST","TeradataBCal 5 out of  33 columns processed."
"2024-09-27 13:18:00.0 IST","TeradataBCal 5 out of  33 columns processed and took 14 seconds to complete."
"2024-09-27 13:18:14.0 IST","TeradataBCal 6 out of  33 columns processed."
"2024-09-27 13:18:14.0 IST","TeradataBCal 6 out of  33 columns processed and took 13 seconds to complete."
"2024-09-27 13:19:14.0 IST","TeradataBCal 7 out of  33 columns processed."
"2024-09-27 13:19:14.0 IST","TeradataBCal 7 out of  33 columns processed and took 59 seconds to complete."
"2024-09-27 13:20:15.0 IST","TeradataBCal 8 out of  33 columns processed."
"2024-09-27 13:20:15.0 IST","TeradataBCal 8 out of  33 columns processed and took 60 seconds to complete."
"2024-09-27 13:20:22.0 IST","TeradataBCal 9 out of  33 columns processed."
"2024-09-27 13:20:22.0 IST","TeradataBCal 9 out of  33 columns processed and took 7 seconds to complete."
"2024-09-27 13:20:30.0 IST","TeradataBCal 10 out of  33 columns processed."
"2024-09-27 13:20:30.0 IST","TeradataBCal 10 out of  33 columns processed and took 7 seconds to complete."
"2024-09-27 13:20:35.0 IST","TeradataBCal 11 out of  33 columns processed."
"2024-09-27 13:20:41.0 IST","TeradataBCal 12 out of  33 columns processed."
"2024-09-27 13:20:46.0 IST","TeradataBCal 13 out of  33 columns processed."
"2024-09-27 13:20:52.0 IST","TeradataBCal 14 out of  33 columns processed."
"2024-09-27 13:20:57.0 IST","TeradataBCal 15 out of  33 columns processed."
"2024-09-27 13:21:03.0 IST","TeradataBCal 16 out of  33 columns processed."
"2024-09-27 13:21:08.0 IST","TeradataBCal 17 out of  33 columns processed."
"2024-09-27 13:21:13.0 IST","TeradataBCal 18 out of  33 columns processed."
"2024-09-27 13:21:19.0 IST","TeradataBCal 19 out of  33 columns processed."
"2024-09-27 13:21:24.0 IST","TeradataBCal 20 out of  33 columns processed."
"2024-09-27 13:21:30.0 IST","TeradataBCal 21 out of  33 columns processed."
"2024-09-27 13:21:35.0 IST","TeradataBCal 22 out of  33 columns processed."
"2024-09-27 13:21:41.0 IST","TeradataBCal 23 out of  33 columns processed."
"2024-09-27 13:21:47.0 IST","TeradataBCal 24 out of  33 columns processed."
"2024-09-27 13:21:53.0 IST","TeradataBCal 25 out of  33 columns processed."
"2024-09-27 13:21:58.0 IST","TeradataBCal 26 out of  33 columns processed."
"2024-09-27 13:22:04.0 IST","TeradataBCal 27 out of  33 columns processed."
"2024-09-27 13:22:12.0 IST","TeradataBCal 28 out of  33 columns processed."
"2024-09-27 13:22:12.0 IST","TeradataBCal 28 out of  33 columns processed and took 8 seconds to complete."
"2024-09-27 13:22:18.0 IST","TeradataBCal 29 out of  33 columns processed."
"2024-09-27 13:22:27.0 IST","TeradataBCal 30 out of  33 columns processed."
"2024-09-27 13:22:27.0 IST","TeradataBCal 30 out of  33 columns processed and took 8 seconds to complete."
"2024-09-27 13:22:32.0 IST","TeradataBCal 31 out of  33 columns processed."
"2024-09-27 13:22:38.0 IST","TeradataBCal 32 out of  33 columns processed."
"2024-09-27 13:22:43.0 IST","TeradataBCal 33 out of  33 columns processed."
"2024-09-27 13:22:44.0 IST","Column Relations count : 0"
"2024-09-27 13:22:44.0 IST","Table TeradataBCal profiled successfully, took : 374 secs. 12 table out of 15 tables completed."
"2024-09-27 13:22:44.0 IST","Started profiling table : CALENDAR_TD_ISO_COMPATIBLE"
"2024-09-27 13:22:44.0 IST","Table: CALENDAR_TD_ISO_COMPATIBLE rowcount updated, count : 73414"
